X,Y,Z,LINE,STN_CORR,Elev_trim,Res_trim
262908.500085393,3842560.50352319,599.369825089508,L1_1,22.0,342.611783326544,24.1646920048321
262908.500085393,3842560.50352319,599.369825089508,L1_1,22.0,324.750584574192,22.8257673817759
262908.500085393,3842560.50352319,599.369825089508,L1_1,22.0,305.996325884222,21.5106233676489
262908.500085393,3842560.50352319,599.369825089508,L1_1,22.0,286.304354259754,20.2563135817519
262908.500085393,3842560.50352319,599.369825089508,L1_1,22.0,265.627784054063,19.0888045968121
262908.500085393,3842560.50352319,599.369825089508,L1_1,22.0,243.918411469986,18.0243078339616
262908.500085393,3842560.50352319,599.369825089508,L1_1,22.0,221.228214000445,17.0709766857472
262908.500085393,3842560.50352319,599.369825089508,L1_1,22.0,197.403506657427,16.2299800734017
262908.500085393,3842560.50352319,599.369825089508,L1_1,22.0,172.387563947258,15.4969625998947
262908.500085393,3842560.50352319,599.369825089508,L1_1,22.0,146.12082410158,14.8639911772444
262908.500085393,3842560.50352319,599.369825089508,L1_1,22.0,118.540747263619,14.3208192043298
262908.500085393,3842560.50352319,599.369825089508,L1_1,22.0,89.5816665837598,13.8559276402467
262908.500085393,3842560.50352319,599.369825089508,L1_1,22.0,59.1746318699075,13.4573280914932
262908.500085393,3842560.50352319,599.369825089508,L1_1,22.0,27.2472454203625,13.1132320769164
262913.455260957,3842563.89665733,598.975235822138,L1_1,28.0,598.975235822138,9.00514640677814
262913.455260957,3842563.89665733,598.975235822138,L1_1,28.0,593.957519014237,10.6971316467731
262913.455260957,3842563.89665733,598.975235822138,L1_1,28.0,588.688916365941,13.5437025785316
262913.455260957,3842563.89665733,598.975235822138,L1_1,28.0,583.15688358523,12.7752489996969
262913.455260957,3842563.89665733,598.975235822138,L1_1,28.0,577.348249165484,8.8124696213662
262913.455260957,3842563.89665733,598.975235822138,L1_1,28.0,571.24918302475,5.23258708583229
262913.455260957,3842563.89665733,598.975235822138,L1_1,28.0,564.845163576979,3.31617325296558
262913.455260957,3842563.89665733,598.975235822138,L1_1,28.0,558.12094315682,2.66141502678621
262913.455260957,3842563.89665733,598.975235822138,L1_1,28.0,551.060511715653,2.81782191249959
262913.455260957,3842563.89665733,598.975235822138,L1_1,28.0,543.647058702428,3.64298461334175
262913.455260957,3842563.89665733,598.975235822138,L1_1,28.0,535.862933038542,5.16149516923821
262913.455260957,3842563.89665733,598.975235822138,L1_1,28.0,527.689601091461,7.41513508251779
262913.455260957,3842563.89665733,598.975235822138,L1_1,28.0,519.107602547026,10.3763737877542
